"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"7991","1997","1","General Motors Corporation","168369",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7992","1997","2","Ford Motor Company","146991",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7993","1997","3","Exxon Corporation","119434",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7994","1997","4","Wal-Mart Stores, Inc.","106147",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7995","1997","5","General Electric Company","79179",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7996","1997","6","International Business Machines Corporation","75947",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7997","1997","7","AT&T Corp.","74525",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7998","1997","8","Mobil Corporation","72267",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7999","1997","9","Chrysler Corporation","61397",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8000","1997","10","Philip Morris Companies Inc.","54553",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8001","1997","11","Texaco Inc.","44561",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8002","1997","12","State Farm Insurance Companies","42781.2",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8003","1997","13","Prudential Insurance Company of America","40175",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8004","1997","14","E.I. du Pont de Nemours and Company, Inc.","39689",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8005","1997","15","Chevron Corporation","38691",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8006","1997","16","Hewlett-Packard Company","38420",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8007","1997","17","Sears, Roebuck & Company","38236",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8008","1997","18","The Procter & Gamble Company","35284",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8009","1997","19","Amoco Corporation","32726",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8010","1997","20","Citicorp","32605",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8011","1997","21","PepsiCo, Inc.","31645",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8012","1997","22","Kmart Corporation","31437",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8013","1997","23","American International Group,Inc.","28205.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8014","1997","24","Motorola, Inc.","27973",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8015","1997","25","The Chase Manhattan Corporation","27421",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8016","1997","26","Lockheed Martin Corporation","26875",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8017","1997","27","Dayton Hudson Corporation","25371",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8018","1997","28","The Kroger Company","25170.9",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8019","1997","29","Fannie Mae","25054",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8020","1997","30","Merrill Lynch & Co., Inc.","25011",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8021","1997","31","ConAgra, Inc.","24821.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8022","1997","32","The Allstate Corporation","24299",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8023","1997","33","J.C. Penney Company, Inc.","23649",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8024","1997","34","United Technologies Corporation","23512",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8025","1997","35","Metropolitan Life Insurance Co.","23000",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8026","1997","36","The Boeing Company","22681",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8027","1997","37","United Parcel Service of America, Inc.","22368",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8028","1997","38","BankAmerica Corporation","22071",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8029","1997","39","Johnson & Johnson","21620",NULL,NULL,NULL,NULL,NULL,NULL,NULL
