"1","Microsoft Corporation","Redmond","WA","1975","1986","1","MSFT","NASDAQ"
"2","Apple Inc.","Cupertino","CA","1976","1980","1","AAPL","NASDAQ"
"3","Amazon.com, Inc.","Seattle","WA","1994","1997","1","AMZN","NASDAQ"
"4","Facebook, Inc.","Menlo Park","CA","2004","2012","1","FB","NASDAQ"
"5","Alphabet Inc","Mountain View","CA","1998","2004","1","GOOGL","NASDAQ"
"6","eBay Inc.","San Jose","CA","1995","1998","1","EBAY","NASDAQ"
"7","Twitter, Inc.","San Francisco","CA","2006","2013","1","TWTR","NYSE"
"8","HP Inc.","Palo Alto","CA","1939","1978","1","HPQ","NYSE"
"9","Dell Technologies Inc.","Round Rock","TX","1984","2018","1","DELL","NYSE"
"10","Uber Technologies, Inc.","San Francisco","CA","2009","2019","1","UBER","NYSE"
"11","Lyft, Inc.","San Francisco","CA","2012","2019","1","LYFT","NASDAQ"
"12","Snap Inc.","Santa Monica","CA","2011","2017","1","SNAP","NYSE"
"13","Spotify Technology S.A.","Stockholm","Sweden","2006","2018","1","SPOT","NYSE"
"14","AT&T Inc.","Dallas","TX","1983","1984","2","T","NYSE"
"15","T-Mobile US Inc.","Bellevue","WA","1994","1998","2","TMUS","NASDAQ"
"16","Sprint Corporation","Overland Park","KS","1899","2013","2","S","NYSE"
"17","Verizon Communications Inc.","New York","NY","1983","1983","2","VZ","NYSE"
"18","JPMorgan Chase & Co.","New York","NY","1799","1980","3","JPM","NYSE"
"19","Citigroup Inc.","New York","NY","1812","1986","3","C","NYSE"
"20","Bank of America","Charlotte","NC","1909","1978","3","BAC","NYSE"
"21","Wells Fargo & Company","San Francisco","CA","1852","1978","3","WFC","NYSE"
"22","U.S. Bancorp","Minneapolis","MN","1968","1978","3","USB","NYSE"
"23","Truist Financial Corp.","Charlotte","NC","1872","1978","3","TFC","NYSE"
"24","The PNC Financial Services Group, Inc.","Pittsburgh","PA","1852","1978","3","PNC","NYSE"
"25","Visa Inc.","Foster City","CA","1958","2008","4","V","NYSE"
"26","Mastercard Incorporated","New York","NY","1966","2006","4","MA","NYSE"
"27","PayPal Holdings, Inc.","San Jose","CA","1998","2002","4","PYPL","NASDAQ"
"28","The American Express Company","New York","NY","1850","1977","4","AXP","NYSE"
"29","Discover Financial Services, Inc.","Riverwoods","IL","1985","2007","4","DFS","NYSE"
"30","Capital One Financial Corporation","Richmond","VA","1994","1994","4","COF","NYSE"
"31","Netflix, Inc.","Los Gatos","CA","1997","2002","5","NFLX","NASDAQ"
"32","DISH Network Corporation","Englewood","CO","1980","1995","5","DISH","NASDAQ"
"33","Comcast Corporation","Philadelphia","PA","1963","1972","5","CMCSA","NASDAQ"
"34","ViacomCBS Inc.","New York","NY","1952","1994","5","VIACA","NASDAQ"
"35","Fox Corporation","New York","NY","1915","1994","5","FOXA","NASDAQ"
"36","Nike, Inc.","Beaverton","OR","1964","1980","6","NKE","NYSE"
"37","The Gap, Inc.","San Francisco","CA","1969","1976","6","GPS","NYSE"
"38","Under Armour, Inc.","Baltimore","MD","1996","2005","6","UAA","NYSE"
"39","Lululemon Athletica inc.","Vancouver","Canada","1998","2007","6","LULU","NASDAQ"
"40","Hanesbrands Inc.","Winston-Salem","NC","2000","2006","6","HBI","NYSE"
"41","Ralph Lauren Corporation","New York","NY","1967","1997","6","RL","NYSE"
"42","Levi Strauss & Co.","San Francisco","CA","1873","2019","6","LEVI","NYSE"
"43","Costco Wholesale Corporation","Issaquah","WA","1976","1985","7","COST","NASDAQ"
"44","The TJX Companies, Inc.","Framingham","MA","1987","1989","7","TJX","NYSE"
"45","The Home Depot, Inc.","Atlanta","GA","1978","1981","7","HD","NYSE"
"46","Walmart Inc.","Bentonville","AR","1962","1970","7","WMT","NYSE"
"47","Target Corporation","Minneapolis","MN","1902","1967","7","TGT","NYSE"
"48","Lowe's Companies, Inc.","Mooresville","NC","1921","1961","7","LOW","NYSE"
"49","Ross Stores, Inc.","Dublin","CA","1982","1985","7","ROST","NYSE"
"50","Dollar Tree Stores, Inc.","Chesapeake","VA","1986","1995","7","DLTR","NASDAQ"
